"Lugar_del_Accidente";"N_de_Muertos";"PromEdad";"PorcentH";"PorcenM";"Porcent2017";"Porcent2018";"Porcent2019";"Etiqueta"
"Chimborazo - Riobamba - Lizarzaburu";44;41;0,77;0,23;0,45;0,3;0,23;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - Maldonado";9;40;0,89;0,11;0,11;0,33;0,56;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - Velasco";10;38;0,9;0,1;0,4;0,3;0,3;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - Veloz";53;43;0,72;0,28;0,42;0,26;0,32;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - Yaruquies";1;28;1;0;0;0;1;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - Riobamba";1;23;0;1;0;1;0;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - Calpi";10;41;0,6;0,4;0,5;0,4;0,1;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - Cubijies";2;32;1;0;0;0;1;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - Flores";2;30;0,5;0,5;0;0,5;0,5;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - Lican";8;31;0,88;0,12;0,75;0,25;0;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - Licto";4;20;0,5;0,5;0,25;0,5;0,25;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - Punin";1;84;1;0;0;1;0;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - Quimiag";3;50;0,67;0,33;0;1;0;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - San Juan";1;23;1;0;0;1;0;"Operativos Regulares frecuentes"
"Chimborazo - Riobamba - San Luis";8;43;0,75;0,25;0,12;0,38;0,5;"Operativos Regulares frecuentes"
"Chimborazo - Alausi - Alausi";13;50;0,62;0,38;0,54;0,08;0,38;"Operativos Regulares frecuentes"
"Chimborazo - Alausi - Achupallas";8;37;0,62;0,38;0;0,38;0,62;"Operativos Regulares frecuentes"
"Chimborazo - Alausi - Guasuntos";5;69;0,2;0,8;0;0,2;0,8;"Operativos Regulares frecuentes"
"Chimborazo - Alausi - Huigra";1;19;1;0;1;0;0;"Operativos Regulares frecuentes"
"Chimborazo - Alausi - Multitud";1;38;1;0;0;0;1;"Operativos Regulares frecuentes"
"Chimborazo - Alausi - Pistishi(Nariz del Diablo)";1;3;1;0;1;0;0;"Operativos Regulares frecuentes"
"Chimborazo - Alausi - Tixan";5;38;0,8;0,2;0,2;0,6;0,2;"Operativos Regulares frecuentes"
"Chimborazo - Colta - Cajabamba";11;30;0,82;0,18;0,36;0;0,64;"Operativos Regulares frecuentes"
"Chimborazo - Colta - Sicalpa";7;43;0,57;0,43;0,29;0;0,71;"Operativos Regulares frecuentes"
"Chimborazo - Colta - Villa la Union(Cajabamba) Cabecera Cantonal";1;1;1;0;0;0;1;"Operativos Regulares frecuentes"
"Chimborazo - Colta - Columbe";29;35;0,55;0,45;0,59;0,34;0,07;"Operativos Regulares frecuentes"
"Chimborazo - Colta - Juan de Velasco(Pangor)";4;29;0,75;0,25;0,75;0;0,25;"Operativos Regulares frecuentes"
"Chimborazo - Colta - Santiago de Quito(Cab. En San Antonio de Quito)";1;2;0;1;0;0;1;"Operativos Regulares frecuentes"
"Chimborazo - Chambo - Chambo";4;23;0,75;0,25;0,25;0,5;0,25;"Operativos Regulares frecuentes"
"Chimborazo - Chunchi - Chunchi Cabecera Cantonal";4;38;1;0;0,25;0;0,75;"Operativos Regulares frecuentes"
"Chimborazo - Chunchi - Capzol";1;69;0;1;0;0;1;"Operativos Regulares frecuentes"
"Chimborazo - Chunchi - Compud";1;31;1;0;0;0;1;"Operativos Regulares frecuentes"
"Chimborazo - Chunchi - Gonzol";1;63;1;0;0;0;1;"Operativos Regulares frecuentes"
"Chimborazo - Chunchi - Llagos";2;36;1;0;0,5;0;0,5;"Operativos Regulares frecuentes"
"Chimborazo - Guamote - Guamote";11;36;0,73;0,27;0,09;0,18;0,64;"Operativos Regulares frecuentes"
"Chimborazo - Guamote - Cebadas";9;28;0,89;0,11;0;0,67;0,33;"Operativos Regulares frecuentes"
"Chimborazo - Guamote - Palmira";9;33;0,78;0,22;0,78;0;0,22;"Operativos Regulares frecuentes"
"Chimborazo - Guano - El Rosario";3;41;1;0;0;0,33;0,67;"Operativos Regulares frecuentes"
"Chimborazo - Guano - La Matriz";4;52;1;0;0,25;0;0,75;"Operativos Regulares frecuentes"
"Chimborazo - Guano - Guano";8;40;0,88;0,12;0;0,12;0,88;"Operativos Regulares frecuentes"
"Chimborazo - Guano - Ilapo";2;48;1;0;0,5;0;0,5;"Operativos Regulares frecuentes"
"Chimborazo - Guano - La Providencia";1;29;1;0;0;0;1;"Operativos Regulares frecuentes"
"Chimborazo - Guano - San Andres";24;40;0,83;0,17;0,17;0,46;0,38;"Operativos Regulares frecuentes"
